created_at,tweet_text,cleaned_text,sentiment_score
2023-04-18 20:20:13+00:00,"Options + Stock Alerts
Discord link below

ðŸ”µhttps://t.co/3AxWV1SN0HðŸ”µ

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/Yh8Vpy7dJ0","options + stock alerts
discord link below

ðÿ”µ

$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 20:19:38+00:00,"$AAPL Apple CEO Tim Cook to meet with Indiaâ€™s Prime Minister Narendra Modi following Mumbai store opening

https://t.co/gm64WI0U7u","$aapl apple ceo tim cook to meet with indiaâ€™s prime minister narendra modi following mumbai store opening

",0.0
2023-04-18 20:17:21+00:00,"Apple CEO Tim Cook to meet with Indiaâ€™s Prime Minister Narendra Modi following Mumbai store opening
https://t.co/FaV1saIBIB
More news about $AAPL on #TickerTick https://t.co/m62JCDIsJ3","apple ceo tim cook to meet with indiaâ€™s prime minister narendra modi following mumbai store opening

more news about $aapl on tickertick ",0.0
2023-04-18 20:16:02+00:00,"$AAPL The average annual yield in a US savings account is said to be less than 0.25%.

Apple's proposed 4.15% APY savings accounts rank amongst the highest in the country and come with; no fees, no minimum deposits, FDIC insurance, and no minimum balances. https://t.co/tTchZBBJrT","$aapl the average annual yield in a us savings account is said to be less than 0.25%.

apple's proposed 4.15% apy savings accounts rank amongst the highest in the country and come with; no fees, no minimum deposits, fdic insurance, and no minimum balances. ",-0.6808
2023-04-18 20:08:57+00:00,"Options + Stock Alerts
Discord link below

https://t.co/rFUdY4PsgD

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/8PSPjPnMRi","options + stock alerts
discord link below



$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 20:08:05+00:00,#Apple $AAPL opening the first shop in India and also offering 4.15% interest on saving accounts should be bullish right? Right? https://t.co/Nk7KGBpt4j,apple $aapl opening the first shop in india and also offering 4.15% interest on saving accounts should be bullish right? right? ,0.5204
2023-04-18 20:01:26+00:00,"In a partnership with Goldman Sachs, Apple announced yesterday that they are offering a new high yield savings account! Here are the detailsðŸ‘‡ðŸ½

$AAPL https://t.co/LmbYPKF1N6","in a partnership with goldman sachs, apple announced yesterday that they are offering a new high yield savings account! here are the detailsðÿ‘‡ðÿ½

$aapl ",0.0
2023-04-18 20:00:32+00:00,"Options + Stock Alerts
Discord link below

ðŸ”µhttps://t.co/Ib1OeqyFqWðŸ”µ

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/tnDUe6PACt","options + stock alerts
discord link below

ðÿ”µ

$apt $jakk $dynt $spv $lmnd $gnus $graf $biol $novn $chfs $ayro  $carv $spy $solo $w $jagx $ino  $byfc $tsla $spce $boxl $aapl $ayro $bngo $dkng $appl ",-0.4019
2023-04-18 20:00:00+00:00,"Breaking: Apple $AAPL is launching a savings account from Goldman Sachs $GS, which offers a high-yield annual percentage yield of 4.15%","breaking: apple $aapl is launching a savings account from goldman sachs $gs, which offers a high-yield annual percentage yield of 4.15%",0.0
2023-04-18 19:54:36+00:00,$AAPL NEW ARTICLE : Apple Opens First Stores in India https://t.co/Oz5gA4B6pt,$aapl new article : apple opens first stores in india ,0.0
